id,name,genre,keywords,overview,cast,feature,poster,backdrop,rating,year_aired
2292,Porridge,Comedy,prison judge england theft convict warden sitcom,"Porridge is a British situation comedy broadcast on BBC1 from 1974 to 1977, running for three series, two Christmas specials and a feature film also titled Porridge. Written by Dick Clement and Ian La Frenais, it stars Ronnie Barker and Richard Beckinsale as two inmates at the fictional HMP Slade in Cumberland. ""Doing porridge"" is British slang for serving a prison sentence, porridge once being the traditional breakfast in UK prisons.

The series was followed by a 1978 sequel, Going Straight, which established that Fletcher would not be going back to prison again. Porridge was voted number seven in a 2004 BBC poll of the 100 greatest British sitcoms.",Brian Wilde Ronnie Barker Fulton Mackay Richard Beckinsale,"comedy brian wilde ronnie barker fulton mackay richard beckinsale prison judge england theft convict warden sitcom porridge is a british situation comedy broadcast on bbc1 from 1974 to 1977 running for three series two christmas specials and a feature film also titled porridge written by dick clement and ian la frenais it stars ronnie barker and richard beckinsale as two inmates at the fictional hmp slade in cumberland doing porridge is british slang for serving a prison sentence porridge once being the traditional breakfast in uk prisons

the series was followed by a 1978 sequel going straight which established that fletcher would not be going back to prison again porridge was voted number seven in a 2004 bbc poll of the 100 greatest british sitcoms",https://image.tmdb.org/t/p/w500/hQBiyfTd8QpHuQe0UIeoUWFcno0.jpg,https://image.tmdb.org/t/p/w500/mE2U8VWud8wUWda2hIHXcQkwagv.jpg,4.0,1974.0
93514,"The Mind, Explained",Documentary,neuroscience,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",Julianne Moore Emma Stone,documentary julianne moore emma stone neuroscience ever wonder whats happening inside your head from dreaming to anxiety disorders discover how your brain works with this illuminating series,https://image.tmdb.org/t/p/w500/m3lTuyAK0dNbKVokHQhuHXfdUFz.jpg,https://image.tmdb.org/t/p/w500/70c2rCiA4eTyLs0vW9SwOHeomkC.jpg,4.05,2019.0
210,The Man from U.N.C.L.E.,Action & Adventure Comedy Sci-Fi & Fantasy,spy secret agent super spy,"Agents Napoleon Solo and Illya Kuryakin work for a secret intelligence service working under the auspices of the U.N.

Their immediate superior is Mr. Waverly.

Together  they operate out of a secret base beneath the streets of New York City, and accesses through several cover business such as Del Floria's Tailor Shop and the Masque Club.

This secret intelligence service is called U.N.C.L.E.

United Network Command for Law and Enforcement.",Robert Vaughn David McCallum Leo G. Carroll,"action  adventure comedy scifi  fantasy robert vaughn david mccallum leo g carroll spy secret agent super spy agents napoleon solo and illya kuryakin work for a secret intelligence service working under the auspices of the un

their immediate superior is mr waverly

together  they operate out of a secret base beneath the streets of new york city and accesses through several cover business such as del florias tailor shop and the masque club

this secret intelligence service is called uncle

united network command for law and enforcement",https://image.tmdb.org/t/p/w500/a0nMOwNZXyJrMTPoaCzJJZeT0Yl.jpg,https://image.tmdb.org/t/p/w500/8h5ux2XmtevHqxJj6vRE2Zr9a0E.jpg,4.0,1964.0
155278,Dangerous Liaisons,Drama,avenge,"A pair of scheming ex-lovers attempt to exploit others by using the power of seduction. TV adaptation of Pierre Choderlos de Laclos' classic 18th Century novel ""Les Liaisons Dangereuses"".",Lesley Manville Carice van Houten Clare Higgins Lucy Cohu Hakeem Kae-Kazim,drama lesley manville carice van houten clare higgins lucy cohu hakeem kaekazim avenge a pair of scheming exlovers attempt to exploit others by using the power of seduction tv adaptation of pierre choderlos de laclos classic 18th century novel les liaisons dangereuses,https://image.tmdb.org/t/p/w500/epuxWxRq1cSvhw0SkWzSiuntrBs.jpg,https://image.tmdb.org/t/p/w500/7kH7yoDhk7RWSIfeLDRqpSmhoeI.jpg,3.4,2022.0
75967,Corporate,Comedy,corporate greed workplace comedy,"A dark, edgy look at life as a Junior-Executive-in-Training at your average, soulless multinational corporation. Matt and Jake are at the mercy of a tyrannical CEO and his top lieutenants while navigating an ever-revolving series of disasters. Their only ally is Human Resources rep Grace.",Lance Reddick Anne Dudek Aparna Nancherla Adam Lustick Jake Weisman,comedy lance reddick anne dudek aparna nancherla adam lustick jake weisman corporate greed workplace comedy a dark edgy look at life as a juniorexecutiveintraining at your average soulless multinational corporation matt and jake are at the mercy of a tyrannical ceo and his top lieutenants while navigating an everrevolving series of disasters their only ally is human resources rep grace,https://image.tmdb.org/t/p/w500/yyNEHFRGGFiTDdpPN0BN5DU90ct.jpg,https://image.tmdb.org/t/p/w500/4ubPTM58eeO3JArXLITpXCC7q6m.jpg,3.1,2018.0
71815,Wisdom of the Crowd,Crime Drama,technology investigation murder innovation information technology criminal consultant,"A tech innovator creates a cutting-edge crowd-sourcing hub to solve his own daughter's murder, as well as revolutionizing crime solving in San Francisco.",Natalia Tena Richard T. Jones Monica Potter Jeremy Piven Blake Lee,crime drama natalia tena richard t jones monica potter jeremy piven blake lee technology investigation murder innovation information technology criminal consultant a tech innovator creates a cuttingedge crowdsourcing hub to solve his own daughters murder as well as revolutionizing crime solving in san francisco,https://image.tmdb.org/t/p/w500/2gQB4t0VEK6sMBQKbBivDrp3S4i.jpg,https://image.tmdb.org/t/p/w500/A2EqaSNviFvJzOjyV1Gnful2e0j.jpg,,2017.0
71716,Reverie,Sci-Fi & Fantasy Drama,virtual reality technology detective,A former detective specializing in human behavior is brought in when the launch of an advanced virtual reality program has dangerous and unintended consequences.,Sarah Shahi Dennis Haysbert Kathryn Morris Jessica Lu Sendhil Ramamurthy,scifi  fantasy drama sarah shahi dennis haysbert kathryn morris jessica lu sendhil ramamurthy virtual reality technology detective a former detective specializing in human behavior is brought in when the launch of an advanced virtual reality program has dangerous and unintended consequences,https://image.tmdb.org/t/p/w500/jrA47ygwLxWJoofHe9LHoWOrNJh.jpg,https://image.tmdb.org/t/p/w500/3nkyFTDzmdITnwUMoFpzREMeVUv.jpg,3.55,2018.0
4979,Underdog,Animation Comedy,superhero dog cartoon dog,"Underdog is an American animated television series that debuted October 3, 1964, on the NBC network under the primary sponsorship of General Mills, and continued in syndication until 1973, for a run of 124 episodes.

Underdog, Shoeshine Boy's heroic alter-ego, appeared whenever love interest Sweet Polly Purebred was being victimized by such villains as Simon Bar Sinister or Riff Raff. Underdog nearly always speaks in rhyme, as in, ""There's no need to fear, Underdog is here!"" His voice was supplied by Wally Cox.",Norma MacMillan Wally Cox George S. Irving Allen Swift Sandy Becker,"animation comedy norma macmillan wally cox george s irving allen swift sandy becker superhero dog cartoon dog underdog is an american animated television series that debuted october 3 1964 on the nbc network under the primary sponsorship of general mills and continued in syndication until 1973 for a run of 124 episodes

underdog shoeshine boys heroic alterego appeared whenever love interest sweet polly purebred was being victimized by such villains as simon bar sinister or riff raff underdog nearly always speaks in rhyme as in theres no need to fear underdog is here his voice was supplied by wally cox",https://image.tmdb.org/t/p/w500/d011YMRe22feBwss9875rXC8Hel.jpg,https://image.tmdb.org/t/p/w500/vqoilK751W5htr3sOqkwpvFJizT.jpg,4.25,1964.0
80055,Chambers,Mystery Drama,heart arizona murder,"Consumed by the mystery surrounding the donor heart that saved her life, a young patient starts taking on sinister characteristics of the deceased.",Uma Thurman Tony Goldwyn Nicholas Galitzine Kyanna Simone Simpson Marcus LaVoi,mystery drama uma thurman tony goldwyn nicholas galitzine kyanna simone simpson marcus lavoi heart arizona murder consumed by the mystery surrounding the donor heart that saved her life a young patient starts taking on sinister characteristics of the deceased,https://image.tmdb.org/t/p/w500/h6jgj9zwwdyxIEsmWwkQHHdfEJ6.jpg,https://image.tmdb.org/t/p/w500/k3TmxbcAy5gV3l8GG4bI4j07udy.jpg,,2019.0
221328,SWV & Xscape: The Queens of R&B,Reality,r&b artist music,"Following their epic Verzuz performance, the ladies of Xscape and SWV reunite once again to prepare for a show that promises to reignite their music careers. There is much at stake for these powerhouse women as they navigate different stages in their lives, both personally and professionally. From celebrating the power of collaboration and sisterhood to pushing to over once obstacles, there is no shortage of wonder, watching two of the most iconic female R&B groups of the 1990s come together for this multi-part limited series.",Kandi Burruss Tamika Scott LaTocha Scott Tiny Harris Tamara Johnson,reality kandi burruss tamika scott latocha scott tiny harris tamara johnson rb artist music following their epic verzuz performance the ladies of xscape and swv reunite once again to prepare for a show that promises to reignite their music careers there is much at stake for these powerhouse women as they navigate different stages in their lives both personally and professionally from celebrating the power of collaboration and sisterhood to pushing to over once obstacles there is no shortage of wonder watching two of the most iconic female rb groups of the 1990s come together for this multipart limited series,https://image.tmdb.org/t/p/w500/si2bopfresKdCCKSN1H0rPgxiCT.jpg,https://image.tmdb.org/t/p/w500/E1pVDviow3od0RXIY7avh0KLUH.jpg,,2023.0
39803,Moby Dick,Drama,sea ship mutiny based on novel or book whale obsession tale miniseries pirate 19th century nautical,"The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.",Ethan Hawke Gillian Anderson Donald Sutherland Charlie Cox Stephen McHattie,drama ethan hawke gillian anderson donald sutherland charlie cox stephen mchattie sea ship mutiny based on novel or book whale obsession tale miniseries pirate 19th century nautical the sole survivor of a lost whaling ship relates the tale of his captains selfdestructive obsession to hunt the white whale moby dick,https://image.tmdb.org/t/p/w500/fbstiSHoiIUUFyyYEzxmOaxdYyD.jpg,https://image.tmdb.org/t/p/w500/j6ax9hG8mQ6KpJqI9VFIQBS08qo.jpg,3.5,2011.0
75557,One Thousand and One Nights,Sci-Fi & Fantasy Action & Adventure,middle east fairy tale prince miniseries,"Shahrazad travels through desert searching for the man she loves and who she believes she has lost forever. She arrives at a castle, the home of a prince who kills anyone who dares enter. She convinces the prince to grant her one night to tell him a story, their story, a story that lasts one thousand and one nights...",Paz Vega Vanessa Hessler Rolf Kanies Bettina Zimmermann Stipe Erceg,scifi  fantasy action  adventure paz vega vanessa hessler rolf kanies bettina zimmermann stipe erceg middle east fairy tale prince miniseries shahrazad travels through desert searching for the man she loves and who she believes she has lost forever she arrives at a castle the home of a prince who kills anyone who dares enter she convinces the prince to grant her one night to tell him a story their story a story that lasts one thousand and one nights,https://image.tmdb.org/t/p/w500/3QgjpKVYSfzwKavac5aoLJfoxLH.jpg,https://image.tmdb.org/t/p/w500/aX4YJyRjXx24fPjvOT7HOHClgZo.jpg,,2012.0
3232,Fury,Western Action & Adventure,california horse ranch orphan,"Fury is an American western television series that aired on NBC from 1955 to1960. It stars Peter Graves as Jim Newton, who operates the Broken Wheel Ranch in California; Bobby Diamond as Jim's adopted son, Joey Clark Newton, and William Fawcett as ranch hand Pete Wilkey. Roger Mobley co-starred in the two final seasons as Homer ""Packy"" Lambert, a friend of Joey's.

The frequent introduction to the show depicts the beloved stallion running inside the corral and approaching the camera as the announcer reads: ""FURY!..The story of a horse..and a boy who loves him."" Fury is the first American series produced originally by Television Programs of America and later by the British-based company ITC Entertainment.",Peter Graves William Fawcett Roger Mobley Bobby Diamond,"western action  adventure peter graves william fawcett roger mobley bobby diamond california horse ranch orphan fury is an american western television series that aired on nbc from 1955 to1960 it stars peter graves as jim newton who operates the broken wheel ranch in california bobby diamond as jims adopted son joey clark newton and william fawcett as ranch hand pete wilkey roger mobley costarred in the two final seasons as homer packy lambert a friend of joeys

the frequent introduction to the show depicts the beloved stallion running inside the corral and approaching the camera as the announcer reads furythe story of a horseand a boy who loves him fury is the first american series produced originally by television programs of america and later by the britishbased company itc entertainment",https://image.tmdb.org/t/p/w500/zevaClItrM7FrNcypkYDkjjwgsc.jpg,https://image.tmdb.org/t/p/w500/n8PICamZ41y3hE2jVr8nBXzG7id.jpg,3.7,1955.0
37780,Silk,Drama,legal drama legal courtroom procedural,"Silk is a British television drama series produced by the BBC and first shown in 2011. Written by Peter Moffat, the series follows a set of barristers, and what they do to attain the rank of Queen's Counsel, known as ""taking silk.""",Jessica Henwick Alex Jennings Amy Wren Frances Barber Rupert Penry-Jones,drama jessica henwick alex jennings amy wren frances barber rupert penryjones legal drama legal courtroom procedural silk is a british television drama series produced by the bbc and first shown in 2011 written by peter moffat the series follows a set of barristers and what they do to attain the rank of queens counsel known as taking silk,https://image.tmdb.org/t/p/w500/6CGT22Ja3mBa9mt9BbeSwD9lWJp.jpg,https://image.tmdb.org/t/p/w500/x1jY3nr0PDQ0SPgaCcHKrY2zDlB.jpg,3.55,2011.0
220157,The Exhibit: Finding the Next Great Artist,Reality,competition art,"Seven up-and-coming artists create original pieces that explore social issues for the chance to win $100,000 and show their work at the Smithsonian's Hirshhorn Museum and Sculpture Garden in this competition series judged by art-world insiders.",Dometi Pongo Melissa Chiu Jamaal Barber Frank Buffalo Hyde Baseera Khan,reality dometi pongo melissa chiu jamaal barber frank buffalo hyde baseera khan competition art seven upandcoming artists create original pieces that explore social issues for the chance to win 100000 and show their work at the smithsonians hirshhorn museum and sculpture garden in this competition series judged by artworld insiders,https://image.tmdb.org/t/p/w500/eEw7H967JtTP95Ar2g5eDapigJO.jpg,https://image.tmdb.org/t/p/w500/d0xGIwe6KncN8z4lLGlRfgxNm5A.jpg,4.05,2023.0
51046,Gang Related,Action & Adventure Crime Drama,"california police undercover outlaw gang los angeles, california police detective task force","Every villain has a noble cause, and every hero has a dark side.

Detective Ryan Lopez is a rising star in Los Angeles' elite Gang Task Force. What the world doesn't know is that long before Ryan became a cop, he pledged allegiance to a different band of brothers – a powerful Latino gang called Los Angelicos. 

When Ryan's best friend and police partner is senselessly killed by a notorious gang member, Ryan teams up with longtime Task Force member Cassius Green who has been at the forefront of the city's war on organized crime. In this war between law enforcement and gangs, the series explores how only people who really know the streets can win the battle on the streets.",Shantel VanSanten Inbar Lavi Cliff Curtis Jay Hernandez Terry O'Quinn,"action  adventure crime drama shantel vansanten inbar lavi cliff curtis jay hernandez terry oquinn california police undercover outlaw gang los angeles california police detective task force every villain has a noble cause and every hero has a dark side

detective ryan lopez is a rising star in los angeles elite gang task force what the world doesnt know is that long before ryan became a cop he pledged allegiance to a different band of brothers  a powerful latino gang called los angelicos 

when ryans best friend and police partner is senselessly killed by a notorious gang member ryan teams up with longtime task force member cassius green who has been at the forefront of the citys war on organized crime in this war between law enforcement and gangs the series explores how only people who really know the streets can win the battle on the streets",https://image.tmdb.org/t/p/w500/pQSAiKxKaA79UoraSUh1UyaGTrE.jpg,https://image.tmdb.org/t/p/w500/pQhlfQSbBhrRDHfAfHjkPuSxBmM.jpg,3.35,2014.0
64158,River,Crime Drama,police hallucination miniseries police detective murder investigation police procedural,"Respected police officer John River, a gifted cop with a troubled mind, struggles to come to terms with the recent loss of a colleague, and chases a suspect across London - with tragic consequences. Now at odds with the authorities, River ends up in a precarious position as he seeks to bring closure to the mother of murdered teenager, who blames him for failing to keep his promise.",Stellan Skarsgård Nicola Walker Lesley Manville Eddie Marsan Owen Teale,crime drama stellan skarsgård nicola walker lesley manville eddie marsan owen teale police hallucination miniseries police detective murder investigation police procedural respected police officer john river a gifted cop with a troubled mind struggles to come to terms with the recent loss of a colleague and chases a suspect across london  with tragic consequences now at odds with the authorities river ends up in a precarious position as he seeks to bring closure to the mother of murdered teenager who blames him for failing to keep his promise,https://image.tmdb.org/t/p/w500/fhiVcu9RA3MEVQtMowwQUsHJfJR.jpg,https://image.tmdb.org/t/p/w500/sryK4G2U27mWAiuKk7v63uSbmto.jpg,3.55,2015.0
76684,Yellowstone: Wildest Winter to Blazing Summer,Documentary,beaver climate change grizzly bear miniseries geyser yellowstone bison nature documentary,"Yellowstone is one of the most remarkable places on the planet. It’s home to North America’s most iconic wildlife, including grizzly bears, wolves, great grey owls, beavers and bison. Every year they must survive extreme weather as the thaw transforms this mountain wilderness from freezer to furnace.",Kate Humble Patrick Aryee,documentary kate humble patrick aryee beaver climate change grizzly bear miniseries geyser yellowstone bison nature documentary yellowstone is one of the most remarkable places on the planet its home to north americas most iconic wildlife including grizzly bears wolves great grey owls beavers and bison every year they must survive extreme weather as the thaw transforms this mountain wilderness from freezer to furnace,https://image.tmdb.org/t/p/w500/xJBml3pJdUWaWCxyG9uGErXWFnE.jpg,https://image.tmdb.org/t/p/w500/v7b67wOiDtgBSa0aaVJZvqQscJ7.jpg,3.4,2017.0
13885,Conan the Adventurer,Animation Sci-Fi & Fantasy Action & Adventure,conan,"Conan was created by Robert E. Howard, who wrote novels based on the legendary barbarian. This animated series follows the legendary barbarian as he struggles against Wrath-Amon and his legions of evil.",Michael Beattie Scott McNeil Michael Donovan,animation scifi  fantasy action  adventure michael beattie scott mcneil michael donovan conan conan was created by robert e howard who wrote novels based on the legendary barbarian this animated series follows the legendary barbarian as he struggles against wrathamon and his legions of evil,https://image.tmdb.org/t/p/w500/bmaAXXZ4rvRw3LSuGQwtgtBVaM6.jpg,https://image.tmdb.org/t/p/w500/dF8BadDm9hMQaym4F4Usjs8u67o.jpg,3.45,1992.0
